ID,title,subtitle,author,publisher,first_published_year,language,cover_image,pages,rating,isbn_10,isbn_13
OL99513W,Wet Magic,Children's Fantasy Novel,Edith Nesbit,Independently Published,           1937         ,English,//covers.openlibrary.org/b/id/13239566-M.jpg,,3.0 (1 rating),,9781730871023
OL5744261W,Final Fantasy X,official strategy guide,Dan Birlew,Brady Pub.,           2002         ,English,//covers.openlibrary.org/b/id/481508-M.jpg,269,,0744001404,
OL24389218W,Escape and Fantasy,Poems,George Rostrevor Hamilton,"Creative Media Partners, LLC",           2018         ,English,/images/icons/avatar_book.png,,,,9780343656744
OL49553W,Red prophet,,Orson Scott Card,Tor Fantasy,           1988         ,English,//covers.openlibrary.org/b/id/6957533-M.jpg,311,4.0 (11 ratings),0812524268,
OL4324120W,Memory Lapse,"Harlequin Temptation - 522, Secret Fantasies",Kathleen O'Brien,Harlequin,           1994         ,English,//covers.openlibrary.org/b/id/9943175-M.jpg,,3.0 (2 ratings),0373256221,
OL46347W,Foundation and earth,,Isaac Asimov,Harper Collins Science Fiction & Fantasy,           1986         ,English,//covers.openlibrary.org/b/id/7219347-M.jpg,510,4.0 (59 ratings),0586071105,
OL16513W,Blood Music,,Greg Bear,Open Road Media Sci-Fi & Fantasy,           1985         ,,//covers.openlibrary.org/b/id/12021145-M.jpg,282,4.0 (13 ratings),1497637023,
OL28934167W,Fantasy,Coloring Book,Raymond Clinton,Independently Published,           2022         ,English,/images/icons/avatar_book.png,,,,9798843141738
OL172996W,Tarnsman of Gor,,John Norman,Open Road Media Sci-Fi & Fantasy,           1966         ,,//covers.openlibrary.org/b/id/8763042-M.jpg,188,3.5 (4 ratings),1497648750,
OL3923950W,Blue bamboo,tales of fantasy and romance,Osamu Dazai,Kodansha International,           1993         ,English,//covers.openlibrary.org/b/id/9321848-M.jpg,182,5.0 (1 rating),4770017383,
OL19482945W,Fantasy faces funstation,,Susan Niner Janes,Design Eye,           1994         ,English,//covers.openlibrary.org/b/id/2073052-M.jpg,64,,1872700284,
OL20500134W,Fantasy: The Best of 2004 (Fantasy: The Best of ...),,Jonathan Strahan,I Books,           2005         ,English,//covers.openlibrary.org/b/id/759508-M.jpg,368,,1416504001,
OL40156317W,Internet Password Organizer,Fantasy,Innovention Innovention Lab,CreateSpace Independent Publishing Platform,           2015         ,English,/images/icons/avatar_book.png,120,,,9781985793057
OL8028699W,Billionaire's Favorite Fantasy,,Jan Colley,Silhouette Desire,           2008         ,English,//covers.openlibrary.org/b/id/10432099-M.jpg,187,3.0 (1 rating),0373768826,
OL5808554W,Passionate Fantasy,,Sharon Kendrick,Harlequin Mills & Boon,           1995         ,,//covers.openlibrary.org/b/id/11692780-M.jpg,192,2.0 (1 rating),0263143724,
OL6746163W,Reminescenze e fantasie.,,"Dandolo, Tullio conte",Stab. tip. Fontana,           1841         ,Italian,//covers.openlibrary.org/b/id/5982230-M.jpg,,,,
